,1,2,3,4,5,6
1,	0.211,	0.378,	0.459,	0.422,	0.472,	0.498 
2,	0.025,	0.156,	0.286,	0.295,	0.331,	0.341 
3,	0.003,	0.083,	0.223,	0.222,	0.230,	0.284 
4,	0.000,	0.056,	0.145,	0.172,	0.139,	0.245 
5,	0.000,	0.031,	0.081,	0.148,	0.106,	0.217 
6,	0.000,	0.027,	0.078,	0.109,	0.081,	0.192 
7,	0.000,	0.028,	0.063,	0.089,	0.067,	0.192 
8,	0.000,	0.016,	0.033,	0.063,	0.078,	0.177 
9,	0.000,	0.016,	0.023,	0.025,	0.048,	0.172 
10,	0.000,	0.008,	0.016,	0.031,	0.045,	0.128 
11,	0.000,	0.000,	0.019,	0.019,	0.050,	0.139 
12,	0.000,	0.002,	0.009,	0.025,	0.036,	0.117 
13,	0.000,	0.005,	0.008,	0.005,	0.031,	0.103 
14,	0.000,	0.003,	0.013,	0.000,	0.027,	0.098 
15,	0.000,	0.002,	0.009,	0.000,	0.016,	0.106 
16,	0.000,	0.000,	0.013, 	0.000,	0.014,	0.106 
17,	0.000,	0.000,	0.008,	0.000,	0.014,	0.078 
18,	0.000,	0.000,	0.006,	0.000,	0.014,	0.077 
19,	0.000,	0.000,	0.009,	0.000,	0.013,	0.078 
20,	0.000,	0.000,	0.003,	0.000,	0.014,	0.061 
21,	0.000,	0.000,	0.005,	0.000,	0.013,	0.058 
22,	0.000,	0.000,	0.000,	0.000,	0.009,	0.042 
23,	0.000,	0.000,	0.003,	0.000,	0.011,	0.042 
24,	0.000,	0.000,	0.005,	0.000,	0.008,	0.030 
25,	0.000,	0.000,	0.002,	0.000,	0.008,	0.038 

